id;sifra_postupka;broj_tendera;opis_postupka;vrsta_postupka;datum_objave;datum_otvaranja;kriterijum_cijena;drugi_kriterijum
1;28425;open-source Refined Brook;models artificial;Buckinghamshire Shoes Massachusetts;2022-05-27;2022-05-27;20072;15343
2;41786;hacking structure;Iowa;Realigned Gorgeous firmware;2022-05-26;2022-05-27;28316;99020
3;15054;iterate mobile;Garden Account Administrator;fuchsia Bike;2022-05-27;2022-05-27;85781;4073
4;41984;Account Universal Dollar;Analyst convergence;Shirt Organized;2022-05-26;2022-05-27;33707;54501
5;54534;Dinar;Principal background Gabon;JBOD;2022-05-27;2022-05-27;2457;71238
6;10478;Games Avon;deposit Movies Fresh;Intelligent Security drive;2022-05-27;2022-05-26;39591;17978
7;96251;Berkshire Central installation;Marketing Global;incubate program;2022-05-27;2022-05-27;40889;68514
8;91420;Representative Dinar;Representative Palau secondary;reboot Self-enabling;2022-05-27;2022-05-27;42990;32160
9;96701;Account bandwidth-monitored;Optional Plastic hacking;primary program;2022-05-27;2022-05-27;25990;64279
10;84571;Shirt Argentine;Chicken;Intelligent Qatar Plain;2022-05-27;2022-05-27;18656;24613
