id;sifra_postupka;sifra_ponude;broj_partije;atc;naziv_proizvodjaca;naziv_ponudjaca;zasticeni_naziv;trazena_kolicina;procijenjena_vrijednost;ponudjena_vrijednost;rok_isporuke;bod_cijena;bod_rok;bod_ukupno
1;28686;15272;63329;seamless;Electronics;Group Lead infomediaries;Automated;5468;11268;38521;6761;9307;85539;89070
2;69169;97839;48508;repurpose;channels;invoice Bedfordshire USB;state;48166;61972;88070;17003;98488;62542;3532
3;21604;74401;64261;Grove;digital;Licensed Incredible TCP;Bedfordshire;84389;66415;63214;71692;95491;14239;22063
4;43242;73710;11095;hack bandwidth;Niue;HTTP;navigating Internal;72600;84607;95321;80170;2646;25980;78343
5;39245;25156;11188;global alarm;FTP Cheese;Chief;grey Pizza;56820;37525;6837;99430;75336;96706;73378
6;80371;71464;16805;Right-sized National;matrices asymmetric;Jewelery Lebanon withdrawal;generate Ocean;51437;91138;34253;22412;79704;14697;66948
7;76940;95383;88607;exploit AI;Micronesia;Graphical Car Ball;Chair Soap architect;52857;72135;44903;77088;97674;11300;64691
8;60772;60974;5448;redundant Parkway SSL;Mountain;Baby Unbranded Proactive;Identity e-business;32688;11773;90025;16778;58620;68928;56067
9;68641;51768;20178;Loan Cambridgeshire;deposit Gourde;gold;generation;33841;91027;78815;90547;50864;50699;36547
10;43792;80255;18281;programming Wooden;circuit green;Concrete;Rustic Loan HTTP;94634;83552;34458;54758;12605;27529;85947
